work_id,status,confidence,fragments_used,output_dir
Thales.OnNature,success,0.5634840259747069,2,discoveries/Thales_OnNature_2025-11-06
Zeno.Paradoxes,success,0.5514232016418819,2,discoveries/Zeno_Paradoxes_2025-11-06
Melissus.OnNature,success,0.553171504643011,2,discoveries/Melissus_OnNature_2025-11-06
Pythagoras.SacredDiscourse,success,0.5497603738128557,2,discoveries/Pythagoras_SacredDiscourse_2025-11-06
Leucippus.OnMind,success,0.5617026526552675,2,discoveries/Leucippus_OnMind_2025-11-06
Prodicus.OnNature,success,0.5601528393987599,2,discoveries/Prodicus_OnNature_2025-11-06
Gorgias.OnNonExistence,success,0.5565375530361406,2,discoveries/Gorgias_OnNonExistence_2025-11-06
Thrasymachus.OnJustice,success,0.5617944343542866,2,discoveries/Thrasymachus_OnJustice_2025-11-06
Protagoras.Truth,success,0.5621291790534481,2,discoveries/Protagoras_Truth_2025-11-06
Critias.Sisyphus,success,0.5585272259692675,2,discoveries/Critias_Sisyphus_2025-11-06
Alcmaeon.OnNature,success,0.5595870607928105,2,discoveries/Alcmaeon_OnNature_2025-11-06
Anaximander.OnNature,success,0.5614953165338559,2,discoveries/Anaximander_OnNature_2025-11-06
Antisthenes.Ajax,success,0.5533952118103896,2,discoveries/Antisthenes_Ajax_2025-11-06
Anaximenes.OnNature,success,0.5500801160868916,2,discoveries/Anaximenes_OnNature_2025-11-06
Anaxagoras.OnNature,success,0.557755249320052,2,discoveries/Anaxagoras_OnNature_2025-11-06
Aristippus.OnEducation,success,0.5627289565334154,2,discoveries/Aristippus_OnEducation_2025-11-06
Phaedo.Zopyrus,success,0.5498526915357812,2,discoveries/Phaedo_Zopyrus_2025-11-06
Simon.OnJustice,success,0.5602032602055104,2,discoveries/Simon_OnJustice_2025-11-06
Socrates.Dialogues,success,0.559307652342878,2,discoveries/Socrates_Dialogues_2025-11-06
Glaucon.OnTheJust,success,0.5532353924260522,2,discoveries/Glaucon_OnTheJust_2025-11-06
Simmias.OnTheSoul,success,0.5551095543409651,2,discoveries/Simmias_OnTheSoul_2025-11-06
Crito.Dialogues,success,0.5569520226712723,2,discoveries/Crito_Dialogues_2025-11-06
Plato.OnTheGood,success,0.6233636995092291,2,discoveries/Plato_OnTheGood_2025-11-06
Pherecydes.SevenRecesses,success,0.5561176725210718,2,discoveries/Pherecydes_SevenRecesses_2025-11-06
Plato.HippiasMinor,success,0.6212762261894869,2,discoveries/Plato_HippiasMinor_2025-11-06
Plato.LesserHippias,success,0.6298939094749687,2,discoveries/Plato_LesserHippias_2025-11-06
Plato.GreaterHippias,success,0.6302146454258548,2,discoveries/Plato_GreaterHippias_2025-11-06
Plato.Cratylus,success,0.6271322834982564,2,discoveries/Plato_Cratylus_2025-11-06
Plato.Euthydemus,success,0.6211782043699042,2,discoveries/Plato_Euthydemus_2025-11-06
Cebes.Pinax,success,0.5546811100851048,2,discoveries/Cebes_Pinax_2025-11-06
Hippias.OlympicDiscourse,success,0.5504178944272784,2,discoveries/Hippias_OlympicDiscourse_2025-11-06
Plato.Symposium,success,0.6240779793603036,2,discoveries/Plato_Symposium_2025-11-06
Plato.Parmenides,success,0.6237499564093691,2,discoveries/Plato_Parmenides_2025-11-06
Plato.Theaetetus,success,0.6278557982782317,2,discoveries/Plato_Theaetetus_2025-11-06
Plato.Statesman,success,0.6261892984156774,2,discoveries/Plato_Statesman_2025-11-06
Plato.Philebus,success,0.6324423316297125,2,discoveries/Plato_Philebus_2025-11-06
Plato.Meno,success,0.6392491974821465,2,discoveries/Plato_Meno_2025-11-06
Plato.Phaedo,success,0.6253066160785097,2,discoveries/Plato_Phaedo_2025-11-06
Plato.Laws,success,0.6262346344792061,2,discoveries/Plato_Laws_2025-11-06
Plato.Sophist,success,0.618991104319931,2,discoveries/Plato_Sophist_2025-11-06
Plato.Critias,success,0.6212232156249087,2,discoveries/Plato_Critias_2025-11-06
Plato.Timaeus,success,0.6254148239825036,2,discoveries/Plato_Timaeus_2025-11-06
Plato.HippiasMajor,success,0.6248096843145224,2,discoveries/Plato_HippiasMajor_2025-11-06
Aristotle.OnPhilosophy,success,0.6265896675192356,2,discoveries/Aristotle_OnPhilosophy_2025-11-06
Euclid.SocraticDialogues,success,0.5527713941117274,2,discoveries/Euclid_SocraticDialogues_2025-11-06
Parmenides.OnNature,success,0.5610119996990804,2,discoveries/Parmenides_OnNature_2025-11-06
Aristotle.OnMotion,success,0.6289885768045911,2,discoveries/Aristotle_OnMotion_2025-11-06
Heraclitus.OnNature,success,0.5584010425763404,2,discoveries/Heraclitus_OnNature_2025-11-06
Aristotle.Protrepticus,success,0.6247255135983787,2,discoveries/Aristotle_Protrepticus_2025-11-06
Aristotle.OnIdeas,success,0.6283349697341077,2,discoveries/Aristotle_OnIdeas_2025-11-06
Aristotle.OnTheGood,success,0.6242516033307571,2,discoveries/Aristotle_OnTheGood_2025-11-06
Test.Work.1,success,0.5563460647583267,2,discoveries/Test_Work_1_2025-11-06
Aristotle.Eudemus,success,0.6195939359417131,2,discoveries/Aristotle_Eudemus_2025-11-06
Aristotle.OnPrayer,success,0.6240831792791405,2,discoveries/Aristotle_OnPrayer_2025-11-06
Aristotle.OnWealth,success,0.6247125706271514,2,discoveries/Aristotle_OnWealth_2025-11-06
Aristotle.OnPleasure,success,0.6233059492066413,2,discoveries/Aristotle_OnPleasure_2025-11-06
