work_id,status,confidence,fragments_used,output_dir
Thales.OnNature,success,0.5549013525426644,2,discoveries/Thales_OnNature_2025-11-06
Anaximander.OnNature,success,0.5638510968165551,2,discoveries/Anaximander_OnNature_2025-11-06
Anaximenes.OnNature,success,0.5524361523648225,2,discoveries/Anaximenes_OnNature_2025-11-06
Zeno.Paradoxes,success,0.55783595664826,2,discoveries/Zeno_Paradoxes_2025-11-06
Heraclitus.OnNature,success,0.5585838052127073,2,discoveries/Heraclitus_OnNature_2025-11-06
Anaxagoras.OnNature,success,0.5641647486805534,2,discoveries/Anaxagoras_OnNature_2025-11-06
Melissus.OnNature,success,0.5562303529088135,2,discoveries/Melissus_OnNature_2025-11-06
Pythagoras.SacredDiscourse,success,0.5566231878222474,2,discoveries/Pythagoras_SacredDiscourse_2025-11-06
Leucippus.OnMind,success,0.55854693484816,2,discoveries/Leucippus_OnMind_2025-11-06
Parmenides.OnNature,success,0.5575582653357828,2,discoveries/Parmenides_OnNature_2025-11-06
Protagoras.Truth,success,0.5607303311609027,2,discoveries/Protagoras_Truth_2025-11-06
Gorgias.OnNonExistence,success,0.5483025065931736,2,discoveries/Gorgias_OnNonExistence_2025-11-06
Prodicus.OnNature,success,0.5556000750830825,2,discoveries/Prodicus_OnNature_2025-11-06
Thrasymachus.OnJustice,success,0.5580198363632272,2,discoveries/Thrasymachus_OnJustice_2025-11-06
Hippias.OlympicDiscourse,success,0.5524038940501378,2,discoveries/Hippias_OlympicDiscourse_2025-11-06
Critias.Sisyphus,success,0.5560593855199069,2,discoveries/Critias_Sisyphus_2025-11-06
Alcmaeon.OnNature,success,0.5531716064493317,2,discoveries/Alcmaeon_OnNature_2025-11-06
Pherecydes.SevenRecesses,success,0.5536777586438767,2,discoveries/Pherecydes_SevenRecesses_2025-11-06
Socrates.Dialogues,success,0.5588437565501383,2,discoveries/Socrates_Dialogues_2025-11-06
Antisthenes.Ajax,success,0.5574616761017597,2,discoveries/Antisthenes_Ajax_2025-11-06
Aristippus.OnEducation,success,0.5531372364047036,2,discoveries/Aristippus_OnEducation_2025-11-06
Euclid.SocraticDialogues,success,0.5610920849876574,2,discoveries/Euclid_SocraticDialogues_2025-11-06
Simon.OnJustice,success,0.5602135925651441,2,discoveries/Simon_OnJustice_2025-11-06
Glaucon.OnTheJust,success,0.5609220197294509,2,discoveries/Glaucon_OnTheJust_2025-11-06
Phaedo.Zopyrus,success,0.5513071183416934,2,discoveries/Phaedo_Zopyrus_2025-11-06
Cebes.Pinax,success,0.5590903962110542,2,discoveries/Cebes_Pinax_2025-11-06
Simmias.OnTheSoul,success,0.5534037055470046,2,discoveries/Simmias_OnTheSoul_2025-11-06
Crito.Dialogues,success,0.5518667110270077,2,discoveries/Crito_Dialogues_2025-11-06
Plato.OnTheGood,success,0.6287728041710955,2,discoveries/Plato_OnTheGood_2025-11-06
Plato.HippiasMajor,success,0.6262210514855372,2,discoveries/Plato_HippiasMajor_2025-11-06
Plato.LesserHippias,success,0.6243536465713475,2,discoveries/Plato_LesserHippias_2025-11-06
Plato.HippiasMinor,success,0.6300268190343707,2,discoveries/Plato_HippiasMinor_2025-11-06
Plato.Meno,success,0.6293213250661788,2,discoveries/Plato_Meno_2025-11-06
Plato.GreaterHippias,success,0.6276388989785342,2,discoveries/Plato_GreaterHippias_2025-11-06
Plato.Cratylus,success,0.6154796430726893,2,discoveries/Plato_Cratylus_2025-11-06
