work_id,status,confidence,fragments_used,output_dir
Thales.OnNature,success,0.5569633880739736,2,discoveries/Thales_OnNature_2025-11-06_20-48-29
Heraclitus.OnNature,success,0.5571193893807553,2,discoveries/Heraclitus_OnNature_2025-11-06_20-48-29
Thrasymachus.OnJustice,success,0.5562554249638146,2,discoveries/Thrasymachus_OnJustice_2025-11-06_20-48-29
Pythagoras.SacredDiscourse,success,0.5548393333091712,2,discoveries/Pythagoras_SacredDiscourse_2025-11-06_20-48-29
Zeno.Paradoxes,success,0.5630346394023023,2,discoveries/Zeno_Paradoxes_2025-11-06_20-48-29
Protagoras.Truth,success,0.5498130851034225,2,discoveries/Protagoras_Truth_2025-11-06_20-48-29
Parmenides.OnNature,success,0.5608882595474274,2,discoveries/Parmenides_OnNature_2025-11-06_20-48-29
Anaximenes.OnNature,success,0.558290392396904,2,discoveries/Anaximenes_OnNature_2025-11-06_20-48-29
Hippias.OlympicDiscourse,success,0.5584749433760928,2,discoveries/Hippias_OlympicDiscourse_2025-11-06_20-48-29
Anaxagoras.OnNature,success,0.5533335570433084,2,discoveries/Anaxagoras_OnNature_2025-11-06_20-48-29
Alcmaeon.OnNature,success,0.5571852420847213,2,discoveries/Alcmaeon_OnNature_2025-11-06_20-48-29
Melissus.OnNature,success,0.5513003502227378,2,discoveries/Melissus_OnNature_2025-11-06_20-48-29
Critias.Sisyphus,success,0.5572337988394577,2,discoveries/Critias_Sisyphus_2025-11-06_20-48-29
Pherecydes.SevenRecesses,success,0.5562083239082372,2,discoveries/Pherecydes_SevenRecesses_2025-11-06_20-48-29
Antisthenes.Ajax,success,0.5590611930004135,2,discoveries/Antisthenes_Ajax_2025-11-06_20-48-29
Socrates.Dialogues,success,0.5577618990825471,2,discoveries/Socrates_Dialogues_2025-11-06_20-48-29
Anaximander.OnNature,success,0.5534211662974265,2,discoveries/Anaximander_OnNature_2025-11-06_20-48-29
Leucippus.OnMind,success,0.5619519591753573,2,discoveries/Leucippus_OnMind_2025-11-06_20-48-29
Prodicus.OnNature,success,0.555524820892044,2,discoveries/Prodicus_OnNature_2025-11-06_20-48-29
Phaedo.Zopyrus,success,0.5493784621439367,2,discoveries/Phaedo_Zopyrus_2025-11-06_20-48-29
Aristippus.OnEducation,success,0.5515734330027092,2,discoveries/Aristippus_OnEducation_2025-11-06_20-48-29
Gorgias.OnNonExistence,success,0.5615678829473386,2,discoveries/Gorgias_OnNonExistence_2025-11-06_20-48-29
Euclid.SocraticDialogues,success,0.5612987119459922,2,discoveries/Euclid_SocraticDialogues_2025-11-06_20-48-30
Simon.OnJustice,success,0.5537501770421605,2,discoveries/Simon_OnJustice_2025-11-06_20-48-30
Cebes.Pinax,success,0.558686173292071,2,discoveries/Cebes_Pinax_2025-11-06_20-48-30
Simmias.OnTheSoul,success,0.5585988051048458,2,discoveries/Simmias_OnTheSoul_2025-11-06_20-48-30
Glaucon.OnTheJust,success,0.5624025336727142,2,discoveries/Glaucon_OnTheJust_2025-11-06_20-48-30
Crito.Dialogues,success,0.5571318079381139,2,discoveries/Crito_Dialogues_2025-11-06_20-48-30
Plato.OnTheGood,success,0.6253048177986209,2,discoveries/Plato_OnTheGood_2025-11-06_20-48-30
Plato.HippiasMinor,success,0.6264548554129236,2,discoveries/Plato_HippiasMinor_2025-11-06_20-48-30
Plato.HippiasMajor,success,0.6181113882650621,2,discoveries/Plato_HippiasMajor_2025-11-06_20-48-30
Plato.GreaterHippias,success,0.625794849660467,2,discoveries/Plato_GreaterHippias_2025-11-06_20-48-30
Plato.LesserHippias,success,0.6282965476842042,2,discoveries/Plato_LesserHippias_2025-11-06_20-48-30
Plato.Cratylus,success,0.6268624132915583,2,discoveries/Plato_Cratylus_2025-11-06_20-48-30
Plato.Meno,success,0.6246452165507362,2,discoveries/Plato_Meno_2025-11-06_20-48-30
Plato.Euthydemus,success,0.6254729970529915,2,discoveries/Plato_Euthydemus_2025-11-06_20-48-30
Plato.Symposium,success,0.6209403692775874,2,discoveries/Plato_Symposium_2025-11-06_20-48-30
Plato.Phaedo,success,0.6187375379249019,2,discoveries/Plato_Phaedo_2025-11-06_20-48-30
Plato.Parmenides,success,0.623770633458143,2,discoveries/Plato_Parmenides_2025-11-06_20-48-30
Plato.Theaetetus,success,0.6231987851940524,2,discoveries/Plato_Theaetetus_2025-11-06_20-48-30
Plato.Sophist,success,0.6257135902040607,2,discoveries/Plato_Sophist_2025-11-06_20-48-30
Plato.Statesman,success,0.6236855545483817,2,discoveries/Plato_Statesman_2025-11-06_20-48-30
Plato.Philebus,success,0.6244670657107496,2,discoveries/Plato_Philebus_2025-11-06_20-48-30
Plato.Timaeus,success,0.6276118424863798,2,discoveries/Plato_Timaeus_2025-11-06_20-48-30
Plato.Critias,success,0.6282161929868412,2,discoveries/Plato_Critias_2025-11-06_20-48-30
Plato.Laws,success,0.6236773229140677,2,discoveries/Plato_Laws_2025-11-06_20-48-30
Aristotle.OnPhilosophy,success,0.6230900656083854,2,discoveries/Aristotle_OnPhilosophy_2025-11-06_20-48-30
Aristotle.OnMotion,success,0.6316717590020204,2,discoveries/Aristotle_OnMotion_2025-11-06_20-48-30
Aristotle.Protrepticus,success,0.6184701316116827,2,discoveries/Aristotle_Protrepticus_2025-11-06_20-48-30
Test.Work.1,success,0.5575162238966723,2,discoveries/Test_Work_1_2025-11-06_20-48-30
Aristotle.OnIdeas,success,0.621427000432735,2,discoveries/Aristotle_OnIdeas_2025-11-06_20-48-37
Aristotle.OnEducation,success,0.6298752637170708,2,discoveries/Aristotle_OnEducation_2025-11-06_20-48-37
Aristotle.Eudemus,success,0.6173749364146508,2,discoveries/Aristotle_Eudemus_2025-11-06_20-48-37
Theophrastus.Characters,success,0.5528534603709502,2,discoveries/Theophrastus_Characters_2025-11-06_20-48-37
Aristotle.OnWealth,success,0.6276901410837274,2,discoveries/Aristotle_OnWealth_2025-11-06_20-48-37
Aristotle.OnTheGood,success,0.6295282070680066,2,discoveries/Aristotle_OnTheGood_2025-11-06_20-48-37
Theophrastus.OnMotion,success,0.5521756317695572,2,discoveries/Theophrastus_OnMotion_2025-11-06_20-48-37
Strato.OnTheSoul,success,0.5511866157675063,2,discoveries/Strato_OnTheSoul_2025-11-06_20-48-37
